epoch,train_loss,elapsed_s
1,0.7617794405668974,4.958594799041748
2,0.517010722309351,8.669162034988403
3,0.376914432272315,13.259326934814453
4,0.27812090003862977,16.9796941280365
5,0.2264259299263358,20.66638946533203
6,0.18906770879402757,25.11031460762024
7,0.16515398491173983,28.86014747619629
8,0.14052495826035738,32.72249674797058
9,0.131141675170511,37.32483100891113
10,0.12541061569936574,41.31746220588684
11,0.11786881135776639,44.983314990997314
12,0.11238979548215866,48.717472314834595
13,0.10154693480581045,53.118051052093506
14,0.09765956737101078,56.82016372680664
15,0.0942263180622831,60.516902685165405
16,0.08990558283403516,65.03933644294739
17,0.09204990405123681,68.67698860168457
18,0.09302521147765219,72.33900952339172
19,0.08352454274427146,76.65646815299988
20,0.08027924213092774,80.4498062133789
21,0.07800701959058642,84.06349110603333
22,0.08120147895533592,87.78660750389099
23,0.07619599357713014,92.11069512367249
24,0.07466219936031848,95.72866249084473
25,0.07823869143612683,99.36817741394043
26,0.07173005538061261,103.84843635559082
27,0.06981477269437164,107.39138793945312
28,0.06982852576766163,111.01650881767273
29,0.06608410994522274,115.20634078979492
30,0.06348585116211325,119.14236378669739
31,0.0637450001668185,122.79941749572754
32,0.06341537460684776,126.49452495574951
